Room,Location,Map / Photo,Floor Plans,Venue type
Meeting Room 4 (MR 4),COM1 01-22,https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_L1.jpg,Meeting Room (MR)
Meeting Room 5 (MR 5),COM1 01-18,https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_L1.jpg,Meeting Room (MR)
Meeting Room 6 (MR 6),AS6 05-10,https://www.comp.nus.edu.sg/maps/photos#as6,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/AS6_L5.jpg,Meeting Room (MR)
Meeting Room 7 (MR 7),I3 03-01,https://www.comp.nus.edu.sg/maps/photos#ICUBE,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/ICUBE_L3.jpg,Meeting Room (MR)
Meeting Room 8 (MR 8),I3 03-48,https://www.comp.nus.edu.sg/maps/photos#ICUBE,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/ICUBE_L3.jpg,Meeting Room (MR)
Meeting Room 9 (MR 9),I3 03-49,https://www.comp.nus.edu.sg/maps/photos#ICUBE,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/ICUBE_L3.jpg,Meeting Room (MR)
Cerebro@SoC,COM1 02-05,https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_L2.jpg,Executive/ Video Conference Room (EC)/ Multipurpose Space/ Outreach Room
CHI Executive Training Room,I3 03-40,https://www.comp.nus.edu.sg/maps/photos#ICUBE,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/ICUBE_L3.jpg,Executive/ Video Conference Room (EC)/ Multipurpose Space/ Outreach Room
Executive Classroom (EC),COM2 04-02,https://www.comp.nus.edu.sg/maps/photos#com2,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM2_L4.jpg,Executive/ Video Conference Room (EC)/ Multipurpose Space/ Outreach Room
Multipurpose Space,COM2 04-01,https://www.comp.nus.edu.sg/maps/photos#com2,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM2_L4.jpg,Executive/ Video Conference Room (EC)/ Multipurpose Space/ Outreach Room
STMI Executive Training Room,I3 03-44 (I3-0344),https://www.comp.nus.edu.sg/maps/photos#ICUBE,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/ICUBE_L3.jpg,Executive/ Video Conference Room (EC)/ Multipurpose Space/ Outreach Room
Video Conference Room (VC),COM1 02-13 (COM1-VCRM),https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_L2.jpg,Executive/ Video Conference Room (EC)/ Multipurpose Space/ Outreach Room
Discussion Area a401F,AS6 level 4,https://www.comp.nus.edu.sg/maps/photos#as6,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/AS6_L4.jpg,Discussion Room (DR)
Discussion Area a421F,AS6 level 4,https://www.comp.nus.edu.sg/maps/photos#as6,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/AS6_L4.jpg,Discussion Room (DR)
Discussion Room 1 (DR 1),COM1 B-14B (COM1 B1-14B),https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_Basement.jpg,Discussion Room (DR)
Discussion Room 2 (DR 2),COM1 B-14A (COM1 B1-14A),https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_Basement.jpg,Discussion Room (DR)
Discussion Room 3 (DR 3),COM1 B-07 (COM1 B1-07),https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_Basement.jpg,Discussion Room (DR)
Discussion Room 4 (DR 4),COM1 B-06 (COM1 B1-06),https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_Basement.jpg,Discussion Room (DR)
Discussion Room 6 (DR 6),COM2 02-12,https://www.comp.nus.edu.sg/maps/photos#com2,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM2_L2.jpg,Discussion Room (DR)
Discussion Room 7 (DR 7),COM2 03-14,https://www.comp.nus.edu.sg/maps/photos#com2,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM2_L3.jpg,Discussion Room (DR)
Discussion Room 8 (DR 8),COM2 03-30,https://www.comp.nus.edu.sg/maps/photos#com2,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM2_L3.jpg,Discussion Room (DR)
Discussion Room 9 (DR 9),COM2 04-06,https://www.comp.nus.edu.sg/maps/photos#com2,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM2_L4.jpg,Discussion Room (DR)
Discussion Room 10 (DR 10),COM2 02-24,https://www.comp.nus.edu.sg/maps/photos#com2,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM2_L2.jpg,Discussion Room (DR)
Discussion Room 11 (DR 11),COM2 02-23,https://www.comp.nus.edu.sg/maps/photos#com2,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM2_L2.jpg,Discussion Room (DR)
Discussion Room 12 (DR 12),COM1 02-20,https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_L2.jpg,Discussion Room (DR)
Seminar Room 1 (SR 1),COM1 02-06 (COM1-0206),https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_L2.jpg,Seminar Room (SR)
Seminar Room 2 (SR 2),COM1 02-04 (COM1-0204),https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_L2.jpg,Seminar Room (SR)
Seminar Room 3 (SR 3),COM1 02-12 (COM1-0212),https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_L2.jpg,Seminar Room (SR)
Seminar Room 4 (SR 4),AS3 06-20/21 (AS3-0620),https://www.comp.nus.edu.sg/maps/photos#as3,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/AS3_L6.jpg,Seminar Room (SR)
Seminar Room 5 (SR 5),COM1 02-01 (COM1-0201),https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_L2.jpg,Seminar Room (SR)
Seminar Room 6 (SR 6),COM1 02-03 (COM1-0203),https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_L2.jpg,Seminar Room (SR)
Seminar Room 7 (SR 7),COM1 02-07 (COM1-0207),https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_L2.jpg,Seminar Room (SR)
Seminar Room 8 (SR 8),COM1 02-08 (COM1-0208),https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_L2.jpg,Seminar Room (SR)
Seminar Room 9 (SR 9),COM1 02-09 (COM1-0209),https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_L2.jpg,Seminar Room (SR)
Seminar Room 10 (SR 10),COM1 02-10 (COM1-0210),https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_L2.jpg,Seminar Room (SR)
Seminar Room @ LT19,COM2 Level 1,https://www.comp.nus.edu.sg/maps/photos#com2,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM2_L1.jpg,Seminar Room (SR)
Tutorial Room 1 (TR 1),AS3 06-10 (AS3-0610),https://www.comp.nus.edu.sg/maps/photos#as3,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/AS3_L6.jpg,Tutorial Room (TR)
Tutorial Room 2 (TR 2),AS3 06-11 (AS3-0611),https://www.comp.nus.edu.sg/maps/photos#as3,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/AS3_L6.jpg,Tutorial Room (TR)
Tutorial Room 3 (TR 3),AS6 02-08 (AS6-0208),https://www.comp.nus.edu.sg/maps/photos#as6,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/AS6_L2.jpg,Tutorial Room (TR)
Tutorial Room 4 (TR 4),AS6 02-10 (AS6-0210),https://www.comp.nus.edu.sg/maps/photos#as6,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/AS6_L2.jpg,Tutorial Room (TR)
Tutorial Room 5 (TR 5),AS6 02-11 (AS6-0211),https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/AS6_L2.jpg,Tutorial Room (TR)
Tutorial Room 9 (TR 9),COM2 01-08 (COM2-0108),https://www.comp.nus.edu.sg/maps/photos#com2,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM2_L1.jpg,Tutorial Room (TR)
Tutorial Room 10 (TR 10),COM1 02-17 (COM1-0217),https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_L2.jpg,Tutorial Room (TR)
Tutorial Room 11 (TR 11),COM1 02-16 (COM1-0216),https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_L2.jpg,Tutorial Room (TR)
LT15,AS6 Level 1,https://www.comp.nus.edu.sg/maps/photos#lt15,-,Lecture Theatre (LT)/Auditorium
LT19,COM2 Level 1,https://www.comp.nus.edu.sg/maps/photos#lt19,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM2_L1.jpg,Lecture Theatre (LT)/Auditorium
Auditorium,I3 Aud,https://www.comp.nus.edu.sg/maps/photos#ICUBE,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/ICUBE_L1.jpg,Lecture Theatre (LT)/Auditorium
ARTIFICIAL INTELLIGENCE Lab 1: Adaptive Computing,COM1 01-12,https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_L1.jpg,Research Laboratories (Lab)
ARTIFICIAL INTELLIGENCE Lab 2: Information Mining and Extraction,COM1 01-09,https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_L1.jpg,Research Laboratories (Lab)
ARTIFICIAL INTELLIGENCE Lab 3: Medical Computing,COM1 01-19,https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_L1.jpg,Research Laboratories (Lab)
ARTIFICIAL INTELLIGENCE Lab 3B:AI Research Lab,UT25 01-02,https://www.comp.nus.edu.sg/maps/photos#utown,,Research Laboratories (Lab)
COMPUTATIONAL BIOLOGY RESEARCH Lab 1: Computational Biology,COM1 01-21,https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_L1.jpg,Research Laboratories (Lab)
DATABASE RESEARCH Lab 1: Database 1,COM1 01-08,https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_L1.jpg,Research Laboratories (Lab)
DATABASE RESEARCH Lab 2: Database 2,COM1 01-11,https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_L1.jpg,Research Laboratories (Lab)
DATABASE RESEARCH Lab 3: Electronic Commerce & Database,COM1 01-07,https://www.comp.nus.edu.sg/maps/photos#com1,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM1_L1.jpg,Research Laboratories (Lab)
INFORMATION SYSTEMS RESEARCH Lab 1: Economics of IS Data Science & Business Analytics,COM2 01-02,https://www.comp.nus.edu.sg/maps/photos#com2,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM2_L1.jpg,Research Laboratories (Lab)
INFORMATION SYSTEMS RESEARCH Lab 2: Social Media & Digital Business Digital Innovation,COM2 01-03,https://www.comp.nus.edu.sg/maps/photos#com2,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM2_L1.jpg,Research Laboratories (Lab)
INFORMATION SYSTEMS RESEARCH Lab 3: Healthcare Informatics IS Development & Management,COM2 01-07,https://www.comp.nus.edu.sg/maps/photos#com2,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/COM2_L1.jpg,Research Laboratories (Lab)
ARTIFICIAL INTELLIGENCE RESEARCH LAB 4:I-Lab,i4.0 05-05,https://www.comp.nus.edu.sg/maps/photos#i4,,Research Laboratories (Lab)
MEDIA RESEARCH Lab 1: Geometry & Graphics,AS6 04-03,https://www.comp.nus.edu.sg/maps/photos#as6,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/AS6_L4.jpg,Research Laboratories (Lab)
MEDIA RESEARCH Lab 2: Computational Linguistics,AS6 04-13,https://www.comp.nus.edu.sg/maps/photos#as6,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/AS6_L4.jpg,Research Laboratories (Lab)
MEDIA RESEARCH Lab 3: Multimedia Analysis and Synthesis,AS6 05-01,https://www.comp.nus.edu.sg/maps/photos#as6,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/AS6_L5.jpg,Research Laboratories (Lab)
MEDIA RESEARCH Lab 4: Computer Vision,AS6 05-02,https://www.comp.nus.edu.sg/maps/photos#as6,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/AS6_L5.jpg,Research Laboratories (Lab)
MEDIA RESEARCH Lab 4B: Computer Vision,AS3 06-18,https://www.comp.nus.edu.sg/maps/photos#as3,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/AS3_L6.jpg,Research Laboratories (Lab)
MEDIA RESEARCH Lab 4C: Computer Vision,AS6 02-06/07,https://www.comp.nus.edu.sg/maps/photos#as6,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/AS6_L2.jpg,Research Laboratories (Lab)
MEDIA RESEARCH Lab 5: Visually Immersive Studio,AS6 05-17,https://www.comp.nus.edu.sg/maps/photos#as6,https://www.comp.nus.edu.sg/images/resources/content/mapsvenues/AS6_L5.jpg,Research Laboratories (Lab)
